0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:45:18 -0500] "GET /newBank/getUserInfo HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:45:18 -0500] "GET /newBank/getTableInfo HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:48:06 -0500] "GET /newBank/ HTTP/1.1" 200 1751
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:48:06 -0500] "GET /newBank/js/login.js HTTP/1.1" 200 9000
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:48:08 -0500] "POST /newBank/login HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:48:09 -0500] "GET /newBank/app2.view HTTP/1.1" 200 762
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:48:09 -0500] "GET /newBank/home.view HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:48:09 -0500] "GET /newBank/profile2.view HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:48:09 -0500] "GET /newBank/getUserInfo HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:48:10 -0500] "GET /newBank/getTableInfo HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:49:16 -0500] "GET /newBank/ HTTP/1.1" 200 1751
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:49:16 -0500] "GET /newBank/js/login.js HTTP/1.1" 200 9012
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:49:19 -0500] "POST /newBank/login HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:49:19 -0500] "GET /newBank/app2.view HTTP/1.1" 200 762
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:49:19 -0500] "GET /newBank/home.view HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:49:20 -0500] "GET /newBank/profile2.view HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:49:20 -0500] "GET /newBank/getUserInfo HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:49:20 -0500] "GET /newBank/getTableInfo HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:53:21 -0500] "GET /newBank/ HTTP/1.1" 200 1751
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:53:21 -0500] "GET /newBank/js/login.js HTTP/1.1" 200 9038
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:53:26 -0500] "POST /newBank/login HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:53:26 -0500] "GET /newBank/app2.view HTTP/1.1" 200 762
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:53:26 -0500] "GET /newBank/home.view HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:53:33 -0500] "GET /newBank/profile2.view HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:53:33 -0500] "GET /newBank/getUserInfo HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:53:33 -0500] "GET /newBank/getTableInfo HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:57:12 -0500] "GET /newBank/ HTTP/1.1" 200 1751
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:57:12 -0500] "GET /newBank/js/login.js HTTP/1.1" 200 9042
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:57:16 -0500] "POST /newBank/login HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:57:16 -0500] "GET /newBank/app2.view HTTP/1.1" 200 762
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:57:16 -0500] "GET /newBank/home.view HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:57:21 -0500] "GET /newBank/profile2.view HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:57:21 -0500] "GET /newBank/getUserInfo HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:57:21 -0500] "GET /newBank/getTableInfo HTTP/1.1" 200 156
